state,abbrev,population,positive,active,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,recovered,dataQualityGrade,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,bedsPerThousand,total_beds
Maine,ME,1345790,1185,1097,33,183,18,12,706,B,57,183,,,,1185,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,49029,39186,2100,,850,713,15659,A+,4641,,250589,55228,195361,47451,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,9411,5838,373,1199,155,,2596,A,419,1199,92844,,,6663,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,8386,8034,896,,,141,0,A,352,,97614,10227,87215,8386,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,7550,7150,667,1298,143,73,3413,B,303,1298,,,,7550,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,455,439,5,61,,,404,C,16,61,,,,455,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,11664,11242,475,,,,0,B,422,,,,,11664,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,1191,1129,31,90,,,517,C,25,90,,,,1191,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,5326,5250,,,,,0,D,76,,,,,5326,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,2429,2345,103,277,,,1107,C,84,277,,,,2429,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,126744,115975,5317,,1623,1198,15642,A+,7871,,,,,126744,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,3732,3594,168,587,,,812,C,139,587,,,,3732,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,5426,5134,,,,,182,D,287,,56203,,,5426,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,316415,288779,9786,79768,,,58950,B,19189,79768,,,,316415,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,19914,18876,931,3769,393,255,0,B,1038,3769,,,,19094,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,3972,3613,236,743,92,,2635,A,238,743,70368,4150,66084,,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,2680,2526,205,598,46,21,860,A+,109,598,,,,,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,49267,46823,2645,,,562,0,B,2444,,,,,,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,9477,8993,330,1013,83,59,565,A+,320,1013,,,,9477,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,6626,6222,,1110,,,3622,B,275,1110,,,,,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,2631,2567,71,197,,,1799,C,21,197,,,,2631,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,13177,12452,,1135,,,5814,B,210,1135,,,,13177,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,31548,30054,1540,,,,15544,B,867,,,,,31548,0,0,0,0,0,,2.3,67786.2785
Utah,UT,3282115,5175,4936,,436,,,2238,C,50,436,,,,5175,0,0,0,0,0,,1.8,5907.807
Virginia,VA,8626207,18671,17121,1413,3910,385,193,2497,B,660,3910,119065,,,17873,0,0,0,0,0,,2.1,18115.0347
Vermont,VT,628061,901,849,19,,,,0,C,52,,,,,897,0,0,0,0,0,,2.1,1318.9281
Washington,WA,7797095,16943,16113,411,,120,,0,B,830,,,,,16093,0,0,0,0,0,,1.7,13255.0615
Wisconsin,WI,5851754,9227,7326,582,1608,118,,3723,A+,339,1608,,,,7964,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,1191,1137,73,,28,15,611,C,50,,,,,1191,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,579,572,13,60,,,391,C,7,60,9976,438,9538,429,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,365,355,10,,,,261,C,9,,21399,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,7434,7146,,1023,,,0,B,288,1023,,,,7434,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,3372,3273,95,414,,20,1987,B,73,414,,,,3372,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,8364,7639,718,2033,291,198,1565,A+,348,2033,77997,,,,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,52197,50026,4722,,1433,,0,B,2171,,685048,,,52197,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,15768,14972,931,2747,,,2553,B,820,2747,,,,14078,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,28764,26425,1592,7758,,,4346,B,2339,7758,,,,28764,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,4797,4427,,,,,666,B,240,,,,,4797,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,5038,4759,300,,,,1546,B,235,,,,,5038,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,35463,34075,,5945,,,0,C,1388,5945,,,,35463,0,0,0,0,0,,2.6,57181.761
Georgia,GA,10736059,28306,27132,,5387,,,0,A,1174,5387,174800,,,28306,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,619,603,,72,,,532,B,16,72,,,,609,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,8641,7714,353,,131,90,3156,A,175,,,,,8641,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,2035,1952,,178,,,1215,C,63,178,29335,,,1880,0,0,0,0,0,,1.9,3469.6964
Illinois,IL,12659682,58505,55946,4717,,1250,789,0,A,2559,,,,,58505,0,0,0,0,0,,2.5,31649.205
Indiana,IN,6745354,19295,18066,1456,,487,244,0,A+,1229,,,,,19295,0,0,0,0,0,,2.7,18212.4558
Kansas,KS,2910357,4746,4494,,541,,,286,A,131,541,,,,4746,0,0,0,0,0,,3.3,9604.1781
Kentucky,KY,4499692,4879,4636,334,1411,178,,1752,A,248,1411,,,,4878,0,0,0,0,0,,3.2,14399.0144
Louisiana,LA,4645184,29140,26741,1545,,,208,17303,B,1950,,,,,29140,0,0,0,0,0,,3.3,15329.1072
Massachusetts,MA,6976597,66263,62417,3601,6378,921,,0,A,3846,6378,,,,66263,0,0,0,0,0,,2.3,16046.1731
Maryland,MD,6083116,24473,22392,1657,4910,566,,1590,A,1323,4910,,,,24473,0,0,0,0,0,,1.9,11557.9204
Maine,ME,1345790,1152,1068,36,181,19,10,689,B,56,181,,,,1152,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,48672,38490,2100,,850,713,15659,A+,4579,,243366,54653,188713,46783,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,9071,5360,389,1159,135,,2002,A,395,1159,89680,,,6228,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,8154,7803,896,,,141,0,A,351,,93120,9908,83051,8154,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,7441,6931,632,1265,142,71,3413,B,291,1265,,,,7441,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,455,437,5,61,,,404,C,16,61,,,,455,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,11509,11089,502,,,,0,B,420,,,,,11509,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,1153,1084,32,90,,,510,C,24,90,,,,1153,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,4838,4765,,,,,0,D,73,,,,,4838,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,2310,2229,103,270,,,980,C,81,270,,,,2310,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,123717,113652,5713,,1715,1230,15642,A+,7742,,,,,123717,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,3513,3382,159,587,,,785,C,131,587,,,,3513,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,5311,5002,,,,,182,D,281,,54918,,,5311,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,312977,284275,10350,78942,,,57540,B,18909,78942,,,,312977,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,19335,18314,1003,3712,424,267,0,B,1021,3712,,,,18537,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,3851,3518,236,743,92,,2554,A,238,743,70368,4150,66084,,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,2635,2526,209,595,50,22,0,A,109,595,,,,,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,48305,45887,2673,,,571,0,B,2418,,,,,,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,9289,8683,333,977,80,54,531,A+,296,977,,,,9289,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,6489,6002,,1110,,,3622,B,267,1110,59379,,,6489,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,2588,2504,71,187,,,1759,C,21,187,,,,2588,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,12661,11687,,1125,,,5718,B,209,1125,,,,12661,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,30522,28852,1725,,,,14891,B,847,,,,,30522,0,0,0,0,0,,2.3,67786.2785
Utah,UT,3282115,4981,4782,,418,,,2185,C,49,418,,,,4981,0,0,0,0,0,,1.8,5907.807
Virginia,VA,8626207,17731,16321,1426,3738,375,202,2312,B,616,3738,,,,16979,0,0,0,0,0,,2.1,18115.0347
Vermont,VT,628061,896,845,11,,,,0,C,51,,,,,886,0,0,0,0,0,,2.1,1318.9281
Washington,WA,7797095,16802,15978,428,,117,,0,B,824,,,,,16011,0,0,0,0,0,,1.7,13255.0615
Wisconsin,WI,5851754,8920,6987,582,1591,118,,3698,A+,334,1591,,,,7660,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,1169,1106,76,,29,15,572,C,48,,,,,,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,566,559,13,58,,,387,C,7,58,9976,438,9538,420,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,364,346,25,,,,254,C,9,,20325,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,7158,6879,,1008,,,0,B,279,1008,,,,7158,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,3321,3220,95,414,,23,1973,B,64,414,,,,3321,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,7962,7335,709,1986,311,187,1528,A+,330,1986,74879,,,,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,50442,48369,4706,,1434,,0,B,2073,,654985,,,50442,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,15284,14507,959,2697,,,2486,B,777,2697,,,,13637,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,28764,25443,1592,7758,,,4346,B,2339,7758,,,,28764,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,4658,4099,,,,,666,B,231,,,,,4658,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,4918,4582,281,,,,1403,B,222,,,,,4918,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,34728,33414,,5795,,,0,C,1314,5795,,,,34728,0,0,0,0,0,,2.6,57181.761
Georgia,GA,10736059,27270,26116,,5269,,,0,A,1154,5269,168367,,,27270,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,618,602,,70,,,526,B,16,70,,,,608,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,7884,6983,345,,121,91,2899,A,170,,,,,7884,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,2015,1924,,178,,,1175,C,63,178,29070,,,1860,0,0,0,0,0,,1.9,3469.6964
Illinois,IL,12659682,56055,53598,4900,,1263,777,0,A,2457,,,,,56055,0,0,0,0,0,,2.5,31649.205
Indiana,IN,6745354,18630,17455,1431,,514,257,0,A+,1175,,,,,18630,0,0,0,0,0,,2.7,18212.4558
Kansas,KS,2910357,4449,4279,,534,,,280,A,130,534,,,,4449,0,0,0,0,0,,3.3,9604.1781
Kentucky,KY,4499692,4708,4468,330,1375,178,,1675,A,240,1375,,,,4707,0,0,0,0,0,,3.2,14399.0144
Louisiana,LA,4645184,28711,26096,1607,,,230,17303,B,1927,,,,,28711,0,0,0,0,0,,3.3,15329.1072
Massachusetts,MA,6976597,64311,60595,3716,6169,947,,0,A,3716,6169,,,,64311,0,0,0,0,0,,2.3,16046.1731
Maryland,MD,6083116,23472,20602,1668,4718,568,,1517,A,1276,4718,,,,23472,0,0,0,0,0,,1.9,11557.9204
Maine,ME,1345790,1123,1042,37,177,17,9,657,B,55,177,,,,1123,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,48240,37590,2319,,966,760,8342,A+,4520,,232528,53721,178807,46455,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,8736,4793,369,1096,118,,1911,A,371,1096,85950,,,5730,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,7835,7498,883,,,137,0,A,337,,88989,9578,79260,7835,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,7212,6554,651,1226,160,75,3413,B,281,1226,,,,7212,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,453,437,5,61,,,397,C,16,61,,,,453,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,10923,10524,547,,,,0,B,399,,,,,10923,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,1107,1048,27,86,,,482,C,23,86,,,,1107,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,4281,4211,,,,,0,D,70,,,,,4281,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,2146,2074,112,262,,,980,C,72,262,,,,2146,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,121190,111424,5972,,1724,1286,15642,A+,7538,,,,,121190,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,3411,3288,172,536,,,760,C,123,536,,,,3411,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,5227,4810,,,,,182,D,277,,53984,,,5227,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,308314,280785,10993,78224,,,56187,B,18610,78224,,,,308314,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,18743,17741,,3634,,,0,B,1002,3634,,,,17962,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,3748,3396,255,715,113,,2467,A,230,715,66866,4032,62714,,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,2579,2475,208,591,49,23,0,A,104,591,,,,,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,46971,44617,2683,,,590,0,B,2354,,,,,,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,8962,8355,352,937,76,51,485,A+,279,937,,,,,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,6258,5851,,1110,,,3622,B,256,1110,59379,,,6258,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,2525,2432,69,179,,,1686,C,21,179,,,,2525,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,11891,10536,,1113,,,5546,B,204,1113,,,,11891,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,29229,27915,1778,,,,14122,B,816,,,,,29229,0,0,0,0,0,,2.3,67786.2785
Utah,UT,3282115,4828,4626,,403,,,2062,C,46,403,,,,4828,0,0,0,0,0,,1.8,5907.807
Virginia,VA,8626207,16901,15295,1431,3654,366,193,2196,B,581,3654,,,,16109,0,0,0,0,0,,2.1,18115.0347
Vermont,VT,628061,885,835,19,,,,0,C,50,,,,,879,0,0,0,0,0,,2.1,1318.9281
Washington,WA,7797095,16653,15839,470,,120,,0,B,814,,,,,15899,0,0,0,0,0,,1.7,13255.0615
Wisconsin,WI,5851754,8550,6538,560,1544,127,,3352,A+,327,1544,,,,7314,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,1136,1084,81,,33,18,555,C,46,,46844,,,1136,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,559,552,13,56,,,373,C,7,56,9551,429,9122,415,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,355,346,19,,,,252,C,9,,19119,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,7019,6750,,978,,,0,B,269,978,,,,7019,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,3255,3136,95,402,,23,1305,B,61,402,,,,3255,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,7648,6901,755,1937,311,194,1499,A+,320,1937,71786,,,,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,48917,46935,4981,,1473,,0,B,1982,,625337,,,48917,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,14758,13992,966,2621,,,2415,B,766,2621,,,,13148,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,27700,25443,1650,,,,0,C,2257,,,,,27700,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,4323,3901,,,,,660,B,224,,,,,4323,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,4734,4511,296,,,,1275,B,210,,,,,4734,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,33690,32400,,5795,,,0,C,1290,5795,,,,33690,0,0,0,0,0,,2.6,57181.761
Georgia,GA,10736059,26155,25035,,5156,,,0,A,1120,5156,149044,,,26155,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,613,597,,69,,,516,B,16,69,,,,612,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,7145,6695,335,,121,86,2697,B,162,,,,,7145,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,1984,1892,,175,,,1121,C,60,175,28693,,,1831,0,0,0,0,0,,1.9,3469.6964
Illinois,IL,12659682,52918,50563,4953,,1289,785,0,A,2355,,,,,52918,0,0,0,0,0,,2.5,31649.205
Indiana,IN,6745354,17835,16721,1466,,549,275,0,A+,1114,,,,,17835,0,0,0,0,0,,2.7,18212.4558
Kansas,KS,2910357,4238,3705,,523,,,272,A,129,523,,,,4238,0,0,0,0,0,,3.3,9604.1781
Kentucky,KY,4499692,4539,4303,325,1359,176,,1668,A,235,1359,,,,4539,0,0,0,0,0,,3.2,14399.0144
Louisiana,LA,4645184,28001,25815,1601,,,231,17303,B,1862,,,,,28001,0,0,0,0,0,,3.3,15329.1072
Massachusetts,MA,6976597,62205,58643,3803,5942,1001,,0,A,3562,5942,,,,62205,0,0,0,0,0,,2.3,16046.1731
Maryland,MD,6083116,21742,19771,1711,4559,590,,1432,A,1226,4559,,,,21742,0,0,0,0,0,,1.9,11557.9204
Maine,ME,1345790,1095,1004,35,170,18,8,631,B,53,170,,,,1095,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,47505,36729,2319,,966,760,8342,A+,4434,,221578,52634,168944,46072,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,8116,4325,365,1044,130,,1829,A,343,1044,81465,,,5136,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,7562,7233,853,,,141,0,A,329,,84070,9201,74728,7562,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,6815,6319,639,1175,146,72,3413,B,261,1175,,,,6815,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,453,435,5,61,,,392,C,16,61,,,,453,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,10509,10131,546,,,,0,B,378,,,,,10509,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,1067,1014,30,85,,,458,C,19,85,,,,1067,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,3784,3716,,,,,0,D,68,,,,,3784,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,2054,1998,107,259,,,980,C,66,259,,,,2054,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,118652,109594,6137,,1765,1271,15642,A+,7228,,,,,118652,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,3213,3101,163,536,,,734,C,112,536,,,,3213,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,4998,4704,,,,,158,D,269,,51761,,,4998,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,304372,276214,11598,77400,,,54771,B,18321,77400,,,,,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,18027,17052,,3533,,,0,B,975,3533,,,,17285,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,3618,3259,291,703,127,,2401,A,222,703,63779,3859,59804,,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,2510,2407,243,578,65,28,0,A,103,578,,,,2510,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,45763,43471,2707,,,556,0,B,2292,,,,,,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,8621,7996,339,896,85,54,461,A+,266,896,,,,,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,6095,5651,,1000,,,3252,B,244,1000,,,,6095,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,2449,2360,76,173,,,1573,C,17,173,,,,2449,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,10735,10171,,1045,,,5338,B,199,1045,,,,10366,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,28087,26503,1686,,,,13353,B,782,,,,,,0,0,0,0,0,,2.3,67786.2785
Utah,UT,3282115,4672,4452,,390,,,1939,C,46,390,,,,4672,0,0,0,0,0,,1.8,5907.807
Virginia,VA,8626207,15846,14440,1550,3654,372,208,2104,B,552,3654,,,,15180,0,0,0,0,0,,2.1,18115.0347
Vermont,VT,628061,879,830,23,,,,0,C,49,,,,,866,0,0,0,0,0,,2.1,1318.9281
Washington,WA,7797095,16309,15508,474,,145,,0,B,801,,,,,15589,0,0,0,0,0,,1.7,13255.0615
Wisconsin,WI,5851754,8052,6212,554,1512,119,,3352,A+,316,1512,,,,6854,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,1118,1072,84,,38,20,545,C,41,,44541,,,1118,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,544,538,13,56,,,371,C,7,56,9306,418,8888,404,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,355,342,14,,,,240,B,9,,19119,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,6842,6597,,945,,,0,B,245,945,,,,6842,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,3192,3070,93,389,,18,1249,B,59,389,,,,3192,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,7202,6680,756,1884,312,191,1475,A+,304,1884,68813,,,,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,46500,44613,5011,,1512,,0,B,1887,,603139,,,46500,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,14735,13580,964,2610,,,2275,B,760,2610,,,,12741,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,26767,24599,1691,,,,0,C,2168,,,,,26767,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,4106,3804,,,,,660,B,205,,,,,4106,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,4655,4438,326,,,,1173,B,204,,,,,4655,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,33193,31953,,5624,,,0,C,1240,5624,,,,33193,0,0,0,0,0,,2.6,57181.761
Georgia,GA,10736059,25572,24479,,5056,,,0,A,1093,5056,140223,,,25411,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,609,593,,69,,,505,B,16,69,,628,27632,609,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,6843,6240,323,,100,74,2428,B,148,,,,,6843,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,1952,1892,,173,,,1087,C,60,173,28240,,,1810,0,0,0,0,0,,1.9,3469.6964
Illinois,IL,12659682,50355,48140,5036,,1290,777,0,A,2215,,,,,50355,0,0,0,0,0,,2.5,31649.205
Indiana,IN,6745354,17182,16117,1484,,570,262,0,A,1065,,,,,17182,0,0,0,0,0,,2.7,18212.4558
Kansas,KS,2910357,3738,3525,,515,,,266,A,125,515,,,,3738,0,0,0,0,0,,3.3,9604.1781
Kentucky,KY,4499692,4375,4150,320,1331,170,,1617,A,225,1331,,,,4374,0,0,0,0,0,,3.2,14399.0144
Louisiana,LA,4645184,27660,25485,1629,,,244,17303,B,1802,,,,,27660,0,0,0,0,0,,3.3,15329.1072
Massachusetts,MA,6976597,60265,56860,3856,5758,1011,,0,A,3405,5758,,,,60265,0,0,0,0,0,,2.3,16046.1731
Maryland,MD,6083116,20849,19097,1610,4402,586,,1361,A,1168,4402,,,,20849,0,0,0,0,0,,1.9,11557.9204
Maine,ME,1345790,1056,989,32,166,17,7,615,B,52,166,,,,1056,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,46488,35694,2498,,997,778,8342,A+,4335,,209855,51482,158373,45406,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,7468,3880,320,950,119,,1724,A,319,950,77118,,,4644,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,7425,7107,891,,,125,0,A,318,,79128,8781,70219,7425,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,6569,6103,677,1126,151,69,3413,B,250,1126,,,,,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,451,436,5,61,,,382,C,16,61,,,,,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,9948,9594,551,,,,0,B,354,,,,,9948,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,1033,972,28,82,,,437,C,19,82,,,,1033,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,3374,3319,,,,,0,D,55,,,,,3374,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,2010,1950,106,249,,,936,C,60,249,,,,2010,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,116264,107414,6289,,1811,1327,15642,A+,6770,,,,,116264,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,2974,2869,157,509,,,705,C,110,509,,,,2974,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,4898,4602,,,,,100,D,257,,50526,,,4898,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,299691,272194,12159,76450,,,53238,B,18015,76450,,,,,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,17303,16366,,3421,,,0,B,937,3421,,,,16601,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,3473,3203,283,693,126,,2319,A,214,693,61619,3717,57794,,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,2446,2345,227,569,56,24,0,A,101,569,,,,2446,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,44366,42171,2781,,,602,0,B,2195,,,,,,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,8247,7688,269,750,80,55,391,A+,251,750,,,,,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,5881,5543,,1000,,,3252,B,203,1000,,,,5881,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,2373,2302,69,165,,,1492,C,13,165,,,,2373,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,10366,9864,,1013,,,5140,B,195,1013,,,,10366,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,27054,25638,1702,,,,12507,B,732,,,,,,0,0,0,0,0,,2.3,67786.2785
