state,abbrev,population,positive,active,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,recovered,dataQualityGrade,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,bedsPerThousand,total_beds
Georgia,GA,10736059,71095,68350,1135,10457,,,0,A,2745,10457,757924,64822,693102,71095,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,835,132,,105,,,686,D,17,105,83301,835,82466,835,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,27197,9485,137,,42,26,17017,A+,695,,,,,27197,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,4645,945,,300,,,3610,A,90,300,80060,,,4166,0,0,0,0,0,,1.9,3469.6964
Illinois,IL,12659682,140434,133420,1626,,399,216,0,A,7014,,1460527,,,139434,0,0,0,0,0,,2.5,31649.205
Indiana,IN,6745354,43655,8033,723,6912,276,91,33036,A+,2586,6912,,,,43655,0,0,0,0,0,,2.7,18212.4558
Kansas,KS,2910357,12970,11962,,1082,,,747,A,261,1082,,,,12970,0,0,0,0,0,,3.3,9604.1781
Kentucky,KY,4499692,14617,10352,377,2584,79,,3719,B,546,2584,,,,14182,0,0,0,0,0,,3.2,14399.0144
Louisiana,LA,4645184,53415,10459,653,,,77,39792,B,3164,,,,,53415,0,0,0,0,0,,3.3,15329.1072
Massachusetts,MA,6976597,107837,99874,822,11252,174,101,0,A+,7963,11252,1009203,,,102922,0,0,0,0,0,,2.3,16046.1731
Maryland,MD,6083116,65777,57774,511,10683,209,,4874,A,3129,10683,603597,,,65777,0,0,0,0,0,,1.9,11557.9204
Maine,ME,1345790,3070,455,25,343,10,7,2512,A,103,343,87259,3743,83385,2731,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,68989,13566,557,,193,115,49290,A+,6133,,979418,85568,893850,62306,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,34123,2828,336,3943,162,,29854,A,1441,3943,542696,,,34123,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,19421,18439,546,,,66,0,B,982,,327024,21737,360303,19421,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,24516,6258,755,2998,157,94,17242,A,1016,2998,265839,,,24358,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,803,210,15,93,,,572,C,21,93,,,,803,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,57183,18978,891,,,,36921,A,1284,,,,,57183,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,3393,242,25,222,,,3064,D,87,222,165430,,,3393,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,18221,5865,131,1268,,,12099,B,257,1268,,,,18221,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,5598,893,49,558,,,4358,B,347,558,,,,5598,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,170196,125584,1182,19668,252,210,29740,A+,14872,19668,,,,170196,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,10990,5526,149,1793,,,4984,B,480,1793,,,,10990,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,14859,13682,467,,98,57,682,A+,495,,293854,,,14859,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,390415,295605,996,89995,270,167,70010,A,24800,89995,,,,390415,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,47651,44879,624,7502,206,121,0,B,2772,7502,,,,44221,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,11948,3066,277,1336,87,,8507,A+,375,1336,306716,13108,293017,11948,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,7568,4722,189,1012,60,29,2649,A+,197,1012,,,,7294,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,83770,11873,704,,,142,65340,A+,6557,,,,,81374,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,16640,14132,103,1981,18,17,1588,A+,920,1981,,,,16640,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,29022,16012,881,2377,,,12317,A,693,2377,334198,37673,296525,28962,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,6479,800,79,632,,,5592,B,87,632,,,,6479,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,38034,12187,475,2431,,,25280,B,567,2431,727268,44202,683066,37753,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,131917,55125,4739,,,,74496,B,2296,,1659340,,,,0,0,0,0,0,,2.3,67786.2785
Utah,UT,3282115,19374,8568,230,1290,79,,10642,A+,164,1290,,,,19374,0,0,0,0,0,,1.8,5907.807
Virginia,VA,8626207,59946,50453,854,8672,237,104,7818,A+,1675,8672,590404,,,57384,0,0,0,0,0,,2.1,18115.0347
Vermont,VT,628061,1191,197,15,,,,938,B,56,,,,,1191,0,0,0,0,0,,2.1,1318.9281
Washington,WA,7797095,29869,28576,304,4093,,56,0,B,1293,4093,,,,29869,0,0,0,0,0,,1.7,13255.0615
Wisconsin,WI,5851754,29105,7782,249,3326,93,,20557,A+,766,3326,,,,26227,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,2661,711,24,,5,2,1858,B,92,,,,,2574,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,1326,310,7,111,,,996,B,20,111,40154,1164,38989,1052,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,792,273,16,,,2,507,A,12,,96096,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,32064,12307,667,2567,,,18866,B,891,2567,,,,31624,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,17375,5567,267,1214,,58,11568,B,240,1214,,,,17375,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,59974,50575,2270,4313,581,407,7936,A+,1463,4313,448800,,,59586,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,190222,184590,5399,,1487,,0,B,5632,,3592899,,,190222,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,30893,24858,238,5366,,,4370,A,1665,5366,,,,28138,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,45913,33784,124,10099,,,7842,B,4287,10099,400391,,,43954,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,10128,8405,167,,58,36,1182,A+,541,,,,,10128,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,10889,3786,85,,,,6598,A,505,,,,,9834,0,0,0,0,0,,2.2,2162.369
