,date,state,abbrev,population,positive,active,probableCases,totalTestResultsSource,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,bedsPerThousand,total_beds
27,2020-10-19,North Carolina,NC,10611862,247172.0,24692.0,8278.0,posNeg,1142.0,,311.0,,218541.0,A+,10/19/2020 12:05,2020-10-19T12:05:00Z,10/19 08:05,3939.0,,3640086.0,,,238894.0,3892.0,47.0,,,,,,,,,,,15544.0,,0,0,0,0,0,,2.1,22284.9102
28,2020-10-19,North Dakota,ND,761723,32637.0,5935.0,,totalTestEncountersViral,205.0,1267.0,38.0,,26392.0,B,10/19/2020 01:59,2020-10-19T01:59:00Z,10/18 21:59,310.0,1267.0,770510.0,,,32637.0,305.0,5.0,741160.0,272737.0,10490.0,572.0,9918.0,,,,,,,,0,0,0,0,0,,4.3,3275.4089
29,2020-10-19,Nebraska,NE,1952570,58068.0,18564.0,,posNeg,343.0,2658.0,,,38956.0,A,10/18/2020 21:00,2020-10-18T21:00:00Z,10/18 17:00,548.0,2658.0,799579.0,,,58068.0,,,,543530.0,,,,,,,,,,,0,0,0,0,0,,3.6,7029.2519999999995
30,2020-10-19,New Hampshire,NH,1371246,9746.0,1020.0,,totalTestsViral,16.0,761.0,,,8258.0,B,10/19/2020 09:00,2020-10-19T09:00:00Z,10/19 05:00,468.0,761.0,543562.0,,,9746.0,,,,314806.0,32594.0,,,31773.0,,,,,,,0,0,0,0,0,,2.1,2879.6166000000003
31,2020-10-19,New Jersey,NJ,8936574,221205.0,169047.0,,posNeg,758.0,24273.0,166.0,62.0,35944.0,B,10/19/2020 00:00,2020-10-19T00:00:00Z,10/18 20:00,16214.0,24273.0,4217705.0,,,221205.0,14425.0,1789.0,,,,,,,,,,,,,0,0,0,0,0,,2.4,21447.7776
32,2020-10-19,New Mexico,NM,2096640,36788.0,15960.0,,posNeg,171.0,3940.0,,,19894.0,B,10/18/2020 17:30,2020-10-18T17:30:00Z,10/18 13:30,934.0,3940.0,1054891.0,,,36788.0,,,,,,,,,,,,,,,0,0,0,0,0,,1.8,3773.9519999999998
33,2020-10-19,Nevada,NV,3139658,90843.0,86801.0,,posNeg,485.0,,148.0,53.0,2330.0,A+,10/19/2020 00:00,2020-10-19T00:00:00Z,10/18 20:00,1712.0,,1154583.0,,,90843.0,,,1149260.0,763202.0,,,,,,,,,,,0,0,0,0,0,,2.1,6593.2818
34,2020-10-19,New York,NY,19440469,485279.0,381178.0,,posNeg,934.0,89995.0,198.0,106.0,78442.0,B,10/18/2020 23:59,2020-10-18T23:59:00Z,10/18 19:59,25659.0,89995.0,,,,485279.0,,,12982175.0,,,,,,,,,,,,0,0,0,0,0,,2.7,52489.2663
35,2020-10-19,Ohio,OH,11747694,183624.0,27512.0,10627.0,posNeg,1154.0,17172.0,303.0,158.0,151037.0,A+,10/19/2020 14:00,2020-10-19T14:00:00Z,10/19 10:00,5075.0,17172.0,3930940.0,,,172997.0,4767.0,308.0,,,,,,,,,,,,,0,0,0,0,0,,2.8,32893.5432
36,2020-10-19,Oklahoma,OK,3954821,108073.0,14533.0,,posNeg,792.0,7815.0,301.0,,92367.0,A+,10/19/2020 00:00,2020-10-19T00:00:00Z,10/18 20:00,1173.0,7815.0,1448159.0,118537.0,1327532.0,108073.0,,,,,85717.0,4635.0,,,,,,,,,0,0,0,0,0,,2.8,11073.4988
